Aetna,Preferred,Non Formulary,Preferred,Non Formulary,
Anthem/Wellpoint,Preferred,Non Formulary,Non Formulary,Preferred,
BlueCross BlueShield of Massachusetts,Preferred,Non Formulary,Non Formulary,Preferred,
MVP Health Care,Preferred,Non Formulary,Non Formulary,Preferred,
Tufts Health Plan,Preferred,Non Formulary,Non Formulary,Preferred,
Excellus BlueCross BlueShield,Preferred,Non Formulary,Non Formulary,Preferred,
Highmark,Preferred,Non Formulary,Preferred,Non Formulary,
Horizon BlueCross BlueShield of New Jersey,Preferred,Non Formulary,Non Formulary,Preferred,
UnitedHealthcare,Preferred,Non Formulary,Non Formulary,Preferred,
UPMC,Preferred,Preferred,Non Formulary,Non Formulary,
