Aetna,Preferred,Non Formulary,Preferred,Non Formulary,
BlueCross BlueShield of Kansas City,Preferred,Non Formulary,Non Formulary,Preferred,
Coventry Health Care,Preferred,Non Formulary,Non Formulary,Non Formulary,
Caremark,Preferred,Non Formulary,Non Formulary,Preferred,
CIGNA,Preferred,Non Formulary,Non Formulary,Preferred,
Federal Employee Health Plan BCBSA (FEP),Preferred,Non Formulary,Non Formulary,Preferred,
"Humana, Inc. ",Preferred,Non Formulary,Non Formulary,Preferred,
Medco,Preferred,Non Formulary,Non Formulary,Preferred,
UnitedHealthcare,Preferred,Non Formulary,Non Formulary,Preferred,
"Express Scripts, Inc",Preferred,Non Formulary,Non Formulary,Preferred,
