Aetna,Preferred,Non Formulary,Preferred,Non Formulary,
Anthem BlueCross BlueShield of Virginia,Preferred,Non Formulary,Non Formulary,Preferred,
BlueCross BlueShield of Georgia,Preferred,Non Formulary,Non Formulary,Preferred,
BlueCross BlueShield of Florida,Preferred,Preferred,Non Formulary,Non Formulary,
BlueCross BlueShield of North Carolina,Preferred,Non Formulary,Non Formulary,Preferred,
BlueCross BlueShield of South Carolina,Preferred,Non Formulary,Non Formulary,Preferred,
CareFirst BlueCross BlueShield,Preferred,Non Formulary,Non Formulary,Preferred,
Federal Employee Health Plan BCBSA (FEP),Preferred,Non Formulary,Non Formulary,Preferred,
"Humana, Inc. ",Preferred,Non Formulary,Non Formulary,Preferred,
UnitedHealthcare,Preferred,Non Formulary,Non Formulary,Preferred,
