Aetna,Preferred,Non Formulary,Preferred,Non Formulary,
Anthem,Preferred,Non Formulary,Non Formulary,Preferred,
MedMutual of OH,Preferred,Non Formulary,Non Formulary,Preferred,
BCBS of North Dakota,Preferred,Non Formulary,Non Formulary,Preferred,
Federal Employee Health Plan BCBSA (FEP),Preferred,Non Formulary,Non Formulary,Preferred,
"Humana, Inc. ",Preferred,Non Formulary,Non Formulary,Preferred,
Wisconsin Medicaid,Preferred,Non Formulary,Preferred,Preferred,
Physicians Plus,Preferred,Non Formulary,Non Formulary,Preferred,
UCare of MN,Preferred,Preferred,Non Formulary,Non Formulary,
UnitedHealthcare,Preferred,Non Formulary,Non Formulary,Preferred,
