Aetna,Preferred,Non Formulary,Preferred,Non Formulary,
Anthem Blue Cross of California HMO and PPO,Preferred,Non Formulary,Non Formulary,Preferred,
BlueCross BlueShield of Arizona,Preferred,Non Formulary,Non Formulary,Non Formulary,
Premera Blue Cross,Preferred,Non Formulary,Non Formulary,Preferred,
Blue Shield of California,Preferred,Non Formulary,Non Formulary,Preferred,
Federal Employee Health Plan BCBSA (FEP),Preferred,Non Formulary,Non Formulary,Preferred,
"Express Scripts, Inc",Preferred,Non Formulary,Non Formulary,Preferred,
"Humana, Inc. ",Preferred,Non Formulary,Non Formulary,Preferred,
Providence Health Plan,Preferred,Non Formulary,Non Formulary,Preferred,
UnitedHealthcare,Preferred,Non Formulary,Non Formulary,Preferred,
