Aetna ,Preferred,Preferred,Non Formulary,Preferred,Non Formulary,
Anthem,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
MedMutual of OH,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
BCBS of North Dakota,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Federal Employee Health Plan BCBSA (FEP),Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
"Humana, Inc. ",Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Wisconsin Medicaid,Preferred,Preferred,Non Formulary,Preferred,Preferred,
Physicians Plus,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
UCare of MN,Preferred,Preferred,Preferred,Non Formulary,Non Formulary,
UnitedHealthcare,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
