Aetna,Preferred,Preferred,Non Formulary,Preferred,Non Formulary,
Anthem/Wellpoint,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
BlueCross BlueShield of Massachusetts,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
MVP Health Care,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Tufts Health Plan,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Excellus BlueCross BlueShield,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Highmark,Preferred,Preferred,Non Formulary,Preferred,Non Formulary,
Horizon BlueCross BlueShield of New Jersey,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
UnitedHealthcare,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
UPMC,Preferred,Preferred,Preferred,Non Formulary,Non Formulary,
