Aetna,Preferred,Preferred,Non Formulary,Preferred,Non Formulary,
Anthem BlueCross BlueShield of Virginia,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
BlueCross BlueShield of Georgia,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
BlueCross BlueShield of Florida,Preferred,Preferred,Preferred,Non Formulary,Non Formulary,
BlueCross BlueShield of North Carolina,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
BlueCross BlueShield of South Carolina,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
CareFirst BlueCross BlueShield,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Federal Employee Health Plan BCBSA (FEP),Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
"Humana, Inc. ",Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
UnitedHealthcare,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
