Aetna,Preferred,Preferred,Non Formulary,Preferred,Non Formulary,
Anthem Blue Cross of California HMO and PPO,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
BlueCross BlueShield of Arizona,Preferred,Preferred,Non Formulary,Non Formulary,Non Formulary,
Premera Blue Cross,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Blue Shield of California,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Federal Employee Health Plan BCBSA (FEP),Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
"Express Scripts, Inc",Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
"Humana, Inc. ",Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Providence Health Plan,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
UnitedHealthcare,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
