Aetna ,Preferred,Preferred,Non Formulary,Preferred,Non Formulary,
BlueCross BlueShield of Kansas City,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Coventry Health Care,Preferred,Preferred,Non Formulary,Non Formulary,Non Formulary,
Caremark,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
CIGNA,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Federal Employee Health Plan BCBSA (FEP),Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
"Humana, Inc. ",Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
Medco,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
UnitedHealthcare,Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
"Express Scripts, Inc",Preferred,Preferred,Non Formulary,Non Formulary,Preferred,
